id,Address,Response_Address,Response_X,Response_Y
1,臺北市中山區中山北路2段113號,臺北市中山區聚盛里1鄰中山北路二段113號,121.523260,25.060677
2,臺北市敦化南路二段二○七號遠企大樓三十、三十一樓,臺北市大安區義安里3鄰敦化南路二段39之1號;臺北市大安區住安里20鄰敦化南路二段48之1號;臺北市大安區住安里20鄰敦化南路二段48之2號;臺北市大安區住安里20鄰敦化南路二段48之3號;臺北市大安區群賢里12鄰敦化南路二段152之1號,121.549185;121.548255;121.548098;121.548271;121.548167,25.031523;25.031076;25.031211;25.031351;25.025190
3,臺北市中山北路三段二二號,臺北市中山區集英里21鄰中山北路三段22號,121.521730,25.064469
4,基隆市明德一路二七一號,基隆市七堵區正明里5鄰明德一路271號,121.711049,25.094509
5,臺中市西屯區工業35路51號,找不到指定的門牌地址。,,
6,臺北市松山區敦化北路201號前棟3樓,臺北市松山區精忠里4鄰敦化北路201號,121.549416,25.056625
7,臺北市松山區南京東路三段261號11樓,臺北市松山區中正里26鄰南京東路三段261號,121.545162,25.052021
8,臺北縣(舊)土城鄉中央路三段八九巷三號,新北市土城區大安里4鄰中央路三段89巷1之2號,121.438429,24.967551
9,高雄市久堂里久堂路14號,高雄市大樹區久堂里2鄰久堂路14號,120.420243,22.659796
10,臺中市西屯區工業35路51號,找不到指定的門牌地址。,,
11,臺北市南京東路三段16號4樓,臺北市中山區力行里28鄰南京東路三段16號,121.537587,25.051791
12,臺北市松山區復興北路九九號10、11樓,臺北市松山區中正里31鄰復興北路99號,121.544280,25.052849
13,臺北市士林區中山北路6段89號,臺北市士林區德行里5鄰中山北路六段89號,121.524159,25.105811
14,宜蘭縣南澳鄉東岳村東岳路五三號,宜蘭縣南澳鄉東岳村4鄰東岳路53號,121.831568,24.520866
15,臺北市復興北路369號7樓之5,臺北市松山區民福里5鄰復興北路369號,121.544773,25.062448
16,高雄市楠梓加工出口區經三路26號,找不到指定的門牌地址。,,
17,桃園縣(舊)中壢市中園路一九八號,桃園市中壢區永福里7鄰中園路198號,121.239517,24.986902
18,臺南市永康區鹽行里中正路301號,臺南市永康區塩行里9鄰中正路301號,120.244630,23.034185
19,桃園市龜山區山頂里興邦路31之1號,桃園市龜山區山頂里18鄰興邦路31之1號,121.324536,24.985101
20,臺南市永康區鹽行里中正路301號,臺南市永康區塩行里9鄰中正路301號,120.244630,23.034185
21,臺北市內湖區瑞光路550號10樓,臺北市內湖區西湖里13鄰瑞光路550號,121.567124,25.079707
22,桃園市蘆竹區內厝里內厝街46號,桃園市蘆竹區內厝里3鄰內厝街46號,121.285926,25.060049
23,臺北市復興南路一段三六八號一四樓,臺北市大安區和安里4鄰復興南路一段368號,121.543397,25.034936
24,臺北縣(舊)新店市安興路九七號,新北市新店區安和里28鄰安興路97號,121.514380,24.976882
25,臺中縣(舊)大甲鎮中山路一段一一九一號,臺中市大甲區頂店里17鄰中山路一段1191號,120.629656,24.355287
26,高雄縣(舊)大寮鄉大發工業區華東路三九號,找不到指定的門牌地址。,,
27,臺南市仁德區中正路3段231號,臺南市仁德區一甲里2鄰中正路三段231號,120.254653,22.978292
28,臺北縣(舊)三重市光復路一段六八巷十一弄一號一樓,新北市三重區中興里1鄰光復路一段68巷11弄1號,121.470939,25.049761
29,新北市板橋區民生路1段1號,新北市板橋區海山里22鄰民生路一段1號,121.476703,25.011683
30,彰化縣大村鄉美港村美港路116號,彰化縣大村鄉美港村8鄰美港路116號,120.572640,23.981437
31,桃園縣(舊)龜山鄉山鶯路157號,桃園市龜山區山頂里18鄰山鶯路157號,121.325738,24.988484
32,桃園市大園區航站南路1號7樓,桃園市大園區埔心里16鄰航站南路1號,121.221868,25.068331
33,臺北市內湖區內湖路一段240號2樓,臺北市內湖區西湖里13鄰內湖路一段240號,121.565855,25.082129
34,雲林縣斗六市榴中里石榴路317號,雲林縣斗六市榴中里22鄰石榴路317號,120.588147,23.727346
35,臺北市復興南路一段三七○號十樓Ｂ座,臺北市松山區中崙里1鄰復興南路一段1之1號;臺北市松山區中崙里2鄰復興南路一段31之1號;臺北市中山區埤頭里16鄰復興南路一段34之1號;臺北市中山區埤頭里17鄰復興南路一段36之1號;臺北市中山區埤頭里17鄰復興南路一段36之2號;臺北市中山區埤頭里17鄰復興南路一段36之3號;臺北市中山區埤頭里17鄰復興南路一段36之4號;臺北市中山區埤頭里17鄰復興南路一段36之5號;臺北市中山區埤頭里17鄰復興南路一段36之6號;臺北市中山區埤頭里17鄰復興南路一段36之7號;臺北市中山區埤頭里17鄰復興南路一段36之8號;臺北市中山區埤頭里17鄰復興南路一段36之9號;臺北市中山區埤頭里17鄰復興南路一段36之10號;臺北市中山區埤頭里17鄰復興南路一段36之11號;臺北市中山區埤頭里17鄰復興南路一段36之12號;臺北市中山區埤頭里17鄰復興南路一段36之13號;臺北市松山區中崙里2鄰復興南路一段43之1號;臺北市大安區誠安里16鄰復興南路一段66之1號;臺北市大安區誠安里17鄰復興南路一段92之1號;臺北市大安區誠安里17鄰復興南路一段92之2號;臺北市大安區誠安里17鄰復興南路一段92之3號;臺北市大安區誠安里17鄰復興南路一段92之4號;臺北市大安區誠安里17鄰復興南路一段92之5號;臺北市大安區誠安里17鄰復興南路一段92之6號;臺北市大安區誠安里17鄰復興南路一段92之7號;臺北市大安區誠安里17鄰復興南路一段92之8號;臺北市大安區誠安里17鄰復興南路一段92之9號;臺北市大安區光武里20鄰復興南路一段95之1號;臺北市大安區光武里20鄰復興南路一段95之2號;臺北市大安區光武里20鄰復興南路一段95之3號;臺北市大安區光武里20鄰復興南路一段95之4號;臺北市大安區光武里20鄰復興南路一段95之5號;臺北市大安區光武里20鄰復興南路一段95之6號;臺北市大安區光武里20鄰復興南路一段95之7號;臺北市大安區光武里20鄰復興南路一段95之8號;臺北市大安區光武里20鄰復興南路一段95之9號;臺北市大安區光武里20鄰復興南路一段95之10號;臺北市大安區光武里20鄰復興南路一段95之11號;臺北市大安區光武里20鄰復興南路一段95之12號;臺北市大安區光武里20鄰復興南路一段95之13號;臺北市大安區光武里20鄰復興南路一段95之14號;臺北市大安區光武里20鄰復興南路一段95之15號;臺北市大安區光武里21鄰復興南路一段103之1號;臺北市大安區誠安里10鄰復興南路一段128之1號;臺北市大安區光武里27鄰復興南路一段133之1號;臺北市大安區仁愛里2鄰復興南路一段219之1號;臺北市大安區仁愛里2鄰復興南路一段219之2號;臺北市大安區仁愛里2鄰復興南路一段225之1號;臺北市大安區仁愛里2鄰復興南路一段225之2號;臺北市大安區仁慈里15鄰復興南路一段255之1號;臺北市大安區仁慈里15鄰復興南路一段255之2號;臺北市大安區仁慈里15鄰復興南路一段257之1號;臺北市大安區仁慈里15鄰復興南路一段261之1號;臺北市大安區仁慈里15鄰復興南路一段261之2號;臺北市大安區仁慈里15鄰復興南路一段261之3號;臺北市大安區仁慈里11鄰復興南路一段265之1號;臺北市大安區仁慈里11鄰復興南路一段291之1號;臺北市大安區仁慈里11鄰復興南路一段293之1號;臺北市大安區和安里1鄰復興南路一段318之1號;臺北市大安區仁慈里3鄰復興南路一段319之1號;臺北市大安區仁慈里3鄰復興南路一段319之2號;臺北市大安區仁慈里3鄰復興南路一段319之3號;臺北市大安區仁慈里3鄰復興南路一段319之4號;臺北市大安區仁慈里3鄰復興南路一段319之5號;臺北市大安區仁慈里3鄰復興南路一段319之6號;臺北市大安區仁慈里3鄰復興南路一段319之7號;臺北市大安區仁慈里3鄰復興南路一段319之8號;臺北市大安區仁慈里3鄰復興南路一段319之9號;臺北市大安區仁慈里3鄰復興南路一段319之10號;臺北市大安區仁慈里3鄰復興南路一段319之11號;臺北市大安區仁慈里3鄰復興南路一段319之12號;臺北市大安區仁慈里3鄰復興南路一段319之13號;臺北市大安區仁慈里3鄰復興南路一段319之14號;臺北市大安區仁慈里3鄰復興南路一段319之15號;臺北市大安區仁慈里3鄰復興南路一段319之16號;臺北市大安區仁慈里3鄰復興南路一段319之17號;臺北市大安區仁慈里3鄰復興南路一段319之18號;臺北市大安區仁慈里3鄰復興南路一段319之19號;臺北市大安區仁慈里3鄰復興南路一段321之1號;臺北市大安區仁慈里3鄰復興南路一段321之2號;臺北市大安區仁慈里3鄰復興南路一段321之3號;臺北市大安區仁慈里3鄰復興南路一段321之4號;臺北市大安區仁慈里3鄰復興南路一段321之5號;臺北市大安區仁慈里3鄰復興南路一段321之6號;臺北市大安區仁慈里3鄰復興南路一段321之7號;臺北市大安區仁慈里3鄰復興南路一段321之8號;臺北市大安區仁慈里3鄰復興南路一段321之9號;臺北市大安區仁慈里3鄰復興南路一段321之10號;臺北市大安區仁慈里3鄰復興南路一段321之11號;臺北市大安區仁慈里3鄰復興南路一段321之12號;臺北市大安區仁慈里3鄰復興南路一段321之13號;臺北市大安區仁慈里3鄰復興南路一段321之14號;臺北市大安區仁慈里3鄰復興南路一段321之15號;臺北市大安區仁慈里3鄰復興南路一段321之16號;臺北市大安區仁慈里3鄰復興南路一段321之17號;臺北市大安區仁慈里3鄰復興南路一段321之18號;臺北市大安區和安里3鄰復興南路一段342之1號;臺北市大安區和安里3鄰復興南路一段342之2號;臺北市大安區和安里3鄰復興南路一段342之3號;臺北市大安區和安里3鄰復興南路一段342之4號;臺北市大安區和安里3鄰復興南路一段346之1號;臺北市大安區和安里4鄰復興南路一段364之1號;臺北市大安區和安里4鄰復興南路一段368之1號;臺北市大安區和安里4鄰復興南路一段378之1號,121.544131;121.544116;121.543483;121.543677;121.543675;121.543674;121.543671;121.543669;121.543667;121.543666;121.543664;121.543663;121.543662;121.543660;121.543659;121.543661;121.544088;121.543612;121.543448;121.543414;121.543350;121.543314;121.543271;121.543244;121.543284;121.543286;121.543291;121.544085;121.544148;121.544186;121.544221;121.544258;121.544257;121.544257;121.544256;121.544255;121.544228;121.544196;121.544160;121.544160;121.544160;121.544160;121.544056;121.543454;121.544174;121.543927;121.543923;121.543919;121.543917;121.543875;121.543874;121.543878;121.543877;121.543878;121.543877;121.543854;121.543859;121.543968;121.543436;121.543868;121.543891;121.543918;121.543944;121.543969;121.543993;121.544021;121.544043;121.544069;121.543844;121.543869;121.543892;121.543918;121.543944;121.543970;121.543993;121.544020;121.544044;121.544070;121.543869;121.543892;121.543919;121.543944;121.543970;121.543994;121.544020;121.544044;121.544069;121.543844;121.543869;121.543892;121.543919;121.543944;121.543970;121.543994;121.544020;121.544045;121.543171;121.543258;121.543080;121.543115;121.543417;121.543399;121.543397;121.543397,25.047256;25.046404;25.046307;25.046176;25.046127;25.046077;25.046018;25.045962;25.045905;25.045862;25.045814;25.045771;25.045729;25.045689;25.045656;25.045623;25.045616;25.044376;25.043491;25.043527;25.043590;25.043626;25.043668;25.043696;25.043807;25.043891;25.044004;25.043907;25.043905;25.043903;25.043902;25.043912;25.043932;25.043951;25.043967;25.043983;25.043983;25.043984;25.043992;25.043975;25.043958;25.043943;25.043687;25.042988;25.042764;25.038958;25.038794;25.038666;25.038629;25.036678;25.036653;25.036572;25.036316;25.036268;25.036222;25.035915;25.035292;25.035213;25.036775;25.034069;25.034069;25.034068;25.034067;25.034068;25.034067;25.034066;25.034066;25.034065;25.034052;25.034053;25.034053;25.034053;25.034053;25.034053;25.034053;25.034053;25.034053;25.034053;25.034014;25.034014;25.034013;25.034013;25.034012;25.034012;25.034012;25.034012;25.034012;25.033997;25.033996;25.033996;25.033995;25.033995;25.033994;25.033994;25.033993;25.033993;25.036012;25.036010;25.035972;25.036011;25.035868;25.035147;25.034898;25.034197
36,高雄市久堂里久堂路14號,高雄市大樹區久堂里2鄰久堂路14號,120.420243,22.659796
37,臺北市中山區中山北路二段九七號五樓,臺北市中山區聚盛里1鄰中山北路二段97號,121.523143,25.059549
38,桃園縣(舊)中壢市中園路一九八號,桃園市中壢區永福里7鄰中園路198號,121.239517,24.986902
39,臺北市中山區松江路136號10樓,臺北市中山區中吉里2鄰松江路136號,121.532826,25.053107
40,臺中縣(舊)大甲鎮中山路一段一一九一號,臺中市大甲區頂店里17鄰中山路一段1191號,120.629656,24.355287
41,臺北縣(舊)新店市安興路九七號,新北市新店區安和里28鄰安興路97號,121.514380,24.976882
42,臺北市敦化北路二○一之二四號八樓,臺北市松山區中正里11鄰敦化北路88之1號;臺北市松山區中正里22鄰敦化北路102之1號;臺北市松山區中正里22鄰敦化北路122之1號;臺北市松山區中華里16鄰敦化北路153之1號;臺北市松山區中華里4鄰敦化北路197之1號;臺北市松山區中華里4鄰敦化北路199之1號;臺北市松山區精忠里4鄰敦化北路201之1號;臺北市松山區精忠里4鄰敦化北路207之1號;臺北市松山區民有里24鄰敦化北路242之1號;臺北市松山區精忠里13鄰敦化北路307之1號;臺北市松山區精忠里13鄰敦化北路309之1號;臺北市松山區精忠里11鄰敦化北路342之1號,121.548359;121.548204;121.548501;121.549470;121.549401;121.549675;121.549579;121.549480;121.549803;121.549724;121.550083;121.550583,25.051549;25.053472;25.054256;25.054232;25.055192;25.055595;25.056123;25.057988;25.060446;25.058577;25.058618;25.062610
43,臺北市松山區南京東路3段346號3樓,臺北市松山區中正里11鄰南京東路三段346號,121.548091,25.051562
44,臺北市松山區敦化北路201之1號6樓,臺北市松山區精忠里4鄰敦化北路201之1號,121.549579,25.056123
45,臺北縣(舊)五股鄉五股工業區五工六路72號3樓,找不到指定的門牌地址。,,
46,臺中縣(舊)大甲鎮中山路一段一一九一號,臺中市大甲區頂店里17鄰中山路一段1191號,120.629656,24.355287
47,臺南市(舊)東　區裕農路511號,臺南市東區東光里1鄰裕農路511號,120.233033,22.988693
48,高雄巿新興區中正二路一八二號,高雄市新興區文昌里6鄰中正二路182號,120.316715,22.630694
49,臺南縣(舊)永康市中正南路30號1樓,臺南市下營區下營里5鄰中正南路30號;臺南市永康區甲頂里22鄰中正南路30號;臺南市歸仁區大潭里19鄰中正南路三段30號;臺南市歸仁區武東里16鄰中正南路二段30號,120.262876;120.216297;120.271850;120.276991,23.234277;23.019487;22.915665;22.928344
50,臺北市內湖區基湖路37號12樓,臺北市內湖區西湖里13鄰基湖路37號,121.564880,25.079561
51,臺北市內湖區瑞光路550號10樓,臺北市內湖區西湖里13鄰瑞光路550號,121.567124,25.079707
52,臺南縣(舊)新田村新田二街一三八巷二號,找不到指定的門牌地址。,,
53,新竹市研發二路1號,新竹市東區科園里22鄰研發二路3號,121.000904,24.778140
54,臺北市內湖區新湖三路23號6樓,臺北市內湖區湖元里18鄰新湖三路23號,121.574203,25.062187
55,新竹科學園區園區二路四十號,新竹市東區科園里22鄰園區二路17號;新竹市東區金山里6鄰園區二路317號;新竹縣寶山鄉雙溪村6鄰園區二路20號;新竹縣寶山鄉大崎村10鄰園區二路166號,121.000313;121.018875;120.999985;121.011669,24.778535;24.762383;24.777783;24.771807
56,臺北市內湖區民權東路六段15巷36號4樓,臺北市內湖區湖元里18鄰民權東路六段15巷36號,121.577779,25.068489
57,臺北市內湖區瑞光路550號10樓,臺北市內湖區西湖里13鄰瑞光路550號,121.567124,25.079707
58,桃園市新南路一段376號,桃園市蘆竹區南崁里16鄰新南路一段376號,121.297156,25.040176
59,臺南市永康區鹽行里中正路301號,臺南市永康區塩行里9鄰中正路301號,120.244630,23.034185
60,臺北縣(舊)新店市安興路九七號,新北市新店區安和里28鄰安興路97號,121.514380,24.976882
61,臺北市中山區中山北路二段九七號五樓,臺北市中山區聚盛里1鄰中山北路二段97號,121.523143,25.059549
62,臺北市松山區敦化北路201號前棟3樓,臺北市松山區精忠里4鄰敦化北路201號,121.549416,25.056625
63,臺中縣(舊)大甲鎮日南里幼獅路五九號,臺中市大甲區日南里19鄰幼獅路59號,120.654653,24.403361
64,臺北市民生東路3段117號12樓,臺北市松山區民有里2鄰民生東路三段117號,121.546431,25.058065
65,臺北市內湖區堤頂大道一段331號3樓,臺北市內湖區湖元里18鄰堤頂大道一段331號,121.572950,25.062783
66,新北市汐止區新台五路一段81號13樓之2,新北市汐止區復興里10鄰新臺五路一段81號,121.646398,25.061142
