type,count
總計數,3386
一般廣告業 計數,2
人造纖維紡紗業 計數,1
人造纖維梭織布業 計數,1
人造纖維製造業 計數,5
工程服務及相關技術顧問業 計數,5
工業及研磨材料製造業 計數,2
工業用塑膠製品製造業 計數,6
不動產租售業 計數,6
不動產開發業 計數,24
不動產經紀業 計數,4
不動產管理業 計數,2
不織布業 計數,3
中藥製造業 計數,2
內河及湖泊水運業 計數,2
公用事業設施工程業 計數,1
化工機械設備製造業 計數,1
化粧品製造業 計數,2
化學原料批發業 計數,8
化學製品批發業 計數,8
文具製造業 計數,1
木製建材批發業 計數,3
木製家具製造業 計數,1
毛紡紗業 計數,1
水泥製造業 計數,8
半導體封裝及測試業 計數,11
市場研究及民意調查業 計數,3
布疋批發業 計數,2
平板玻璃及其製品製造業 計數,1
未分類其他不動產業 計數,6
未分類其他社會工作服務業 計數,3
未分類其他金融中介業 計數,11
未分類其他金屬製品製造業 計數,10
未分類其他非金屬礦物製品製造業 計數,1
未分類其他紙製品製造業 計數,2
未分類其他基本金屬製造業 計數,1
未分類其他專用機械設備製造業 計數,5
未分類其他專業、科學及技術服務業 計數,8
未分類其他專賣批發業 計數,50
未分類其他教育服務業 計數,1
未分類其他組織 計數,3
未分類其他無店面零售業 計數,8
未分類其他資訊供應服務業 計數,4
未分類其他運輸工具及零件製造業 計數,7
未分類其他電子零組件製造業 計數,171
未分類其他醫療保健服務業 計數,6
民用航空運輸業 計數,1
生物藥品製造業 計數,14
皮革、毛皮整製業 計數,1
石灰製造業 計數,1
石油化工原料製造業 計數,4
石油及天然氣礦業 計數,1
石油及煤製品製造業 計數,2
石油製品燃料批發業 計數,1
石膏製品製造業 計數,1
印刷業 計數,1
印刷電路板組件製造業 計數,5
印刷電路板製造業 計數,6
印刷輔助業 計數,1
印染整理業 計數,6
合成樹脂及塑膠製造業 計數,9
合成橡膠製造業 計數,2
回收物料批發業 計數,20
肉品製造業 計數,1
自行車零件製造業 計數,6
自行車製造業 計數,7
自然及工程科學研究發展服務業 計數,2
行李箱及手提袋製造業 計數,1
西藥製造業 計數,36
冷凍、空調及管道工程業 計數,2
冷凍冷藏肉類製造業 計數,2
冷凍冷藏蔬果製造業 計數,3
投資顧問業 計數,149
汽車美容業 計數,1
汽車貨運業 計數,4
汽車零件製造業 計數,25
汽車零售業 計數,1
汽車製造業 計數,1
汽機車零配件、用品批發業 計數,13
汽機車零配件、用品零售業 計數,3
系統保全服務業 計數,1
