,village,count
0,民雄鄉,4
1,義竹鄉,1
2,民雄鄉,1
3,義竹鄉,1
4,研發二,4
5,科學園,46
6,東　區,108
7,金山八,5
8,新竹科,74
9,科學工,38
10,北　區,16
11,香山區,10
12,復中里,2
13,光復路,5
14,水利路,2
15,東大路,1
16,東光路,4
17,公道五,4
18,和平路,1
19,千甲里,1
20,力行路,8
21,篤行一,2
22,東華路,1
23,新埔鎮,4
24,寶山鄉,6
25,新竹縣,2
26,芎林鄉,4
27,湖口鄉,38
28,竹北市,35
29,科學工,14
30,鳳山村,4
31,竹東鎮,5
32,新豐鄉,1
33,工業東,2
34,台元街,4
35,新竹工,1
36,新竹科,2
37,大村鄉,15
38,福興鄉,7
39,黃厝村,7
40,員林鎮,7
41,彰化市,12
42,伸港鄉,9
43,和美鎮,8
44,溪州鄉,3
45,二林鎮,1
46,鹿港鎮,4
47,線西鄉,3
48,久堂里,3
49,楠梓加,14
50,大社區,7
51,路竹區,15
52,楠梓區,18
53,岡山區,9
54,前鎮區,42
55,三民區,18
56,小港區,9
57,前金區,23
58,高雄加,4
59,仁武區,3
60,鼓山區,1
61,中正四,6
62,苓雅區,10
63,沿海二,1
64,橋頭區,8
65,五福三,1
66,明德一,14
67,中山區,6
68,六堵工,2
69,中正區,3
70,七堵區,4
71,信義區,15
72,仁愛區,1
73,大武崙,2
74,安樂區,4
75,後龍鎮,10
76,苗栗市,15
77,三義鄉,3
78,頭份鎮,1
79,竹南鎮,8
80,公義里,1
81,草屯鎮,3
82,南投市,18
83,土城鄉,1
84,新店市,40
85,三重市,30
86,板橋區,14
87,五股鄉,9
88,汐止區,44
89,土城區,67
90,新店區,68
91,三重區,16
92,中和區,123
93,五股工,2
94,北新路,19
95,永和市,3
96,中和市,58
97,土城市,14
98,新莊市,15
99,重新路,6
100,深坑鄉,3
101,五股區,36
102,中正路,4
103,寶興路,11
104,五權三,2
105,樹林區,15
106,汐止市,24
107,頂坪路,2
108,中山路,4
109,板橋市,7
110,泰山鄉,3
111,林口區,3
112,林口文,2
113,淡水鎮,8
114,新台五,10
115,林口鄉,2
116,樹林鎮,2
117,光復路,1
118,汐止鎮,2
119,康寧街,1
120,新店寶,1
121,深坑區,6
122,淡水區,3
123,板穚市,1
124,俊英街,6
125,新莊區,9
126,泰山區,2
127,樹林市,1
128,屏東市,3
129,內埔鄉,1
130,新園鄉,1
131,滿州鄉,2
132,西屯區,24
133,大甲鎮,10
134,南屯區,18
135,中部科,11
136,大里區,9
137,順帆路,4
138,工業區,9
139,潭子區,19
140,工業六,3
141,大雅鄉,3
142,大雅區,11
143,潭子鄉,4
144,港埠路,5
145,科雅路,2
146,民生路,1
147,太平區,5
148,西　區,15
149,潭富路,3
150,大里市,1
151,梧棲區,3
152,台中港,2
153,梧棲鎮,1
154,五權路,2
155,后里區,1
156,南區忠,2
157,大甲區,2
158,北屯區,1
159,中　區,1
160,中山區,114
161,敦化南,30
162,中山北,17
163,松山區,82
164,南京東,22
165,士林區,28
166,復興北,20
167,內湖區,350
168,復興南,4
169,敦化北,4
170,民生東,15
171,大安區,84
172,南港區,85
173,松江路,11
174,中正區,23
175,北投區,11
176,忠孝東,22
177,信義區,23
178,延平南,1
179,瑞光路,29
180,仁愛路,4
181,信義路,4
182,新湖一,7
183,內湖路,11
184,民權東,9
185,南京路,1
186,濟南路,4
187,寶慶路,4
188,八德路,5
189,羅斯福,4
190,承德路,10
191,松仁路,2
192,襄陽路,2
193,東興路,11
194,大同區,8
195,基隆路,3
196,萬華區,2
197,中華路,3
198,光復南,2
199,行愛路,4
200,市民大,2
201,民生西,1
202,建國南,1
203,南港路,5
204,延平北,2
205,園區街,4
206,集英里,1
207,洲子街,3
208,玉泉里,4
209,建國北,1
210,瑞湖街,1
211,龜山區,39
212,蘆竹區,7
213,大園區,14
214,新南路,7
215,中壢區,6
216,桃園區,17
217,大興西,3
218,觀音區,15
219,南崁路,6
220,平鎮區,6
221,楊梅區,1
222,中壢工,2
223,龍潭區,1
224,南澳鄉,1
225,冬山鄉,5
226,斗六市,12
227,麥寮鄉,6
