░ъзO,╖~зO,╣яе~зы╕ъи╞╖~жW║┘(дддх),╣яе~зы╕ъи╞╖~жW║┘(н^дх),░ъе~╣q╕▄,░ъе~╢╟пu,╣яе~и╞╖~жaз},░ъд║зы╕ъдH,░ъд║нt│dдH,░ъд║╣q╕▄,░ъд║╢╟пu,░ъд║жaз},▓╬д@╜s╕╣,еDнn└ч╖~╢╡е╪,о╓ну░O┐¤,о╓нудщ┤┴
н╗┤ф,дЇкd╗s│y╖~,н╗┤фдЇкdк╤еўж│ннд╜еq,,,,,╗O╞WдЇкdк╤еўж│ннд╜еq,╢dжид╣,02-25317099,02-25316529,╗Oе_елдддs░╧дддsе_╕Ї2мq113╕╣,11913502,·@дЇкdбC,,0520419
╖sе[йY,дЇкd╗s│y╖~,и╚мwдЇкdб]╖sе[йYб^иpдHж│ннд╜еq,ASIA CEMENT( SINGAPORE)PTE.LTD.,65-2828733,65-2866300,"5UTTLE ROAD#09-01,CEMTEX INDUSTRIAL BUILDING, SINGAPORE 536983",и╚мwдЇкdк╤еўж│ннд╜еq,о}ж░кF          ,02-27338000         ,02-27359797         ,╗Oе_ел┤░д╞лn╕ЇдGмqдGб│дC╕╣╗╖е°дj╝╙дTдQбBдTдQд@╝╙,03244509,·@дЇкdд╬иф░╞▓гл~бC,,0531005
м№░ъ,оaоx╣q╛╣зх╡o╖~,дjжPм№░ъд╜еq,TATUNG COMPANY OF AMERICA INC.,,,14381 CHAMBERS ROAD TUSTIN CA 92680 U.S.A.,дjжPк╤еўж│ннд╜еq,▒i╝w╢п,02-5925252,02-25921813,╗Oе_елдддsе_╕ЇдTмqдGдG╕╣,11026506,·@╕g└чдjжP▓гл~е~╛Pм№мw╔]│їд╬░тлскA░╚бC,,0620212
м№░ъ,▓ю░╚еN▓z╖~,м№░ъ╢зй·░ъ╗┌▓ю░╚жцж│ннд╜еq,SOLAR INTERNATIONAL SHIPPING AGENCY INC.,201-2228899,201-2226699,2 WORLD TRADE CENTER SUITE 2264 NEW YORK N.Y. 10048 U.S.A.,╢зй·о№╣Bк╤еўж│ннд╜еq,╢└▒цн╫,02-24550330,02-24550770,░Є╢йелй·╝wд@╕ЇдGдCд@╕╣,04200199,·@╕g└ч▓ю░╚еN▓z╖~░╚бC,,0631017
дще╗,┴│╡╖бB┴│┤Uд╬╣g░v╗s│y╖~,╣F╖s░╙и╞ошжб╖|к└б]╣F╖s░╙и╞к╤еўж│ннд╜еqб^,TAHSIN SHOJI CO. LTD.,0729-64-1661,0729-657-261,дще╗░ъдjи┴й▓кFдjелд╡ж╠дG-дK-дG,╣F╖sдu╖~к╤еўж│ннд╜еq,зdдl┴o,04-23595631,04-23598532,╗Oдделжшд┘░╧дu╖~35╕Ї51╕╣,51059101,·@╕g└чеще╓н▓ифеLжXжи╛Ёп╫╗sл~дз╛P░тд╬╢iеXдf╖~░╚бC,,0680112
дще╗,┴│╡╖бB┴│┤Uд╬╣g░v╗s│y╖~,╣F╖s░╙и╞ошжб╖|к└б]╣F╖s░╙и╞к╤еўж│ннд╜еqб^,TAHSIN SHOJI CO. LTD.,0729-64-1661,0729-657-261,дще╗░ъдjи┴й▓кFдjелд╡ж╠дG-дK-дG,лnи╚╢ь╜ждu╖~к╤еўж│ннд╜еq,зd╣┼мL,07-7122211-5658,02-27178533,╗Oе_елкQдs░╧┤░д╞е_╕Ї201╕╣лe┤╔3╝╙,75370905,·@╕g└чеще╓н▓ифеLжXжи╛Ёп╫╗sл~дз╛P░тд╬╢iеXдf╖~░╚бC,,0680112
╖sе[йY,ифеL│q░T╢╟╝╜│]│╞╗s│y╖~,кFлnи╚м┴╝■дu╖~к╤еўж│ннд╜еq,SEA GLASS INDUSTRY PTE.LTD,65-3378831,65-3370886,╖sе[йYжw╢╢╕Їв░вп╕╣│═┴pдj╖Hв│в╡в░в░л╟,еx╞Wм┴╝■дu╖~к╤еўж│ннд╜еq,кLзB┬╫,02-7130333,,╗Oе_елкQдs░╧лnи╩кF╕ЇдTмq261╕╣11╝╙,11914002,·@╢iеXдf╖~░╚,,0691008
м№░ъ,┐ьд╜е╬╛ў▒ё╛╣иузх╡o╖~,м№░ъ┤╝─_к╤еўж│ннд╜еq,,,,6665-C CORNERS INDUSTRIAL COURT NORCROSS GA 30092 U.S.A.,┤╝─_╣qдlк╤еўж│ннд╜еq,зїо╢─╓,02-2604151,,╗Oе_┐д(┬┬)дgл░╢mддеб╕ЇдTмqдKдEл╤дT╕╣,34230543,·@╕g└ч╣qдl╣sеєд╬иф│]│╞дз╕g╛PбC,,0700317
ої░ъ,жш├─╗s│y╖~,╛ц├╣п╚╝tк╤еўж│ннд╜еq,,,,1 SIAM CEMENT ROAD BANGSUE BANGKOK 10800 THAILAND,е├┬╫╛lзы╕ъ▒▒к╤к╤еўж│ннд╜еq,кЇиq╝№,02-2396-1166,,░к╢пелд[░єи╜д[░є╕Ї14╕╣,85066002,·@╕g└чп╚▒iдз╗s│yд╬╛P░тбC,,0721003
м№░ъ,ифеL╢ь╜ж╗sл~╗s│y╖~,м№░ъ╣F╖sдu╖~к╤еўж│ннд╜еq,"TAHSIN INDUSTRIAL CORP., USA",+1-973-3288678,+1-973-3288681,"685 ROUTE 10, RANDOLPH, N.J.07869, U.S.A.",╣F╖sдu╖~к╤еўж│ннд╜еq,зdдl┴o,04-23595631,04-23598532,╗Oдделжшд┘░╧дu╖~35╕Ї51╕╣,51059101,·@╕g└ч┐ьд╜л╟е╬л~б]е┤д╒╕╦нqмбн╢╛ў╛╣д╬ньо╞бBиўйvзиб^бC,,0740808
