鄉鎮市區,外商個數,所在縣市,,印尼,波蘭,荷蘭,其他地區,英屬開曼群島,泰國,西班牙,汶萊,挪威,越南,義大利,貝里斯,智利,模里西斯,加拿大,英國,日本,英屬維京群島,美國,捷克,新加坡,奧地利,薩摩亞,印度,德國
大村鄉,15,彰化縣,1,0,1,2,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,2
福興鄉,7,彰化縣,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
黃厝村,7,彰化縣,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2
員林鎮,7,彰化縣,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
彰化市,12,彰化縣,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,2,3,1,0,0,0,0,0,0
伸港鄉,9,彰化縣,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0
和美鎮,8,彰化縣,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0
溪州鄉,3,彰化縣,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
二林鎮,1,彰化縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
鹿港鎮,4,彰化縣,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
線西鄉,3,彰化縣,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
