鄉鎮市區,外商個數,所在縣市,緬甸,印尼,荷蘭,韓國,英屬開曼群島,馬來西亞,盧森堡,泰國,塞席爾,汶萊,法國,越南,菲律賓,義大利,貝里斯,澳門,香港,模里西斯,加拿大,英國,日本,英屬維京群島,美國,捷克,新加坡,薩摩亞,德國
龜山區,39,桃園市,0,0,4,1,5,2,0,1,2,0,0,0,0,0,1,0,3,2,0,1,4,1,6,1,2,1,2
蘆竹區,7,桃園市,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
大園區,14,桃園市,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,3,0,2,0,0
新南路,7,桃園市,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0
中壢區,6,桃園市,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0
桃園區,17,桃園市,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,3,6,0,1,0,1
大興西,3,桃園市,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
觀音區,15,桃園市,1,0,0,0,0,1,0,3,1,0,0,1,0,0,1,0,4,1,0,0,0,0,1,0,0,0,1
南崁路,6,桃園市,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
平鎮區,6,桃園市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0
楊梅區,1,桃園市,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中壢工,2,桃園市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
龍潭區,1,桃園市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
