鄉鎮市區,外商個數,所在縣市,巴西,波蘭,荷蘭,丹麥,瓜地馬拉,關島,其他地區,韓國,柬埔寨,英屬安奎拉島,薩爾瓦多,阿拉伯聯合大公國,泰國,庫克群島,越南,亞洲其他地區,義大利,澳門,沙烏地阿拉伯,香港,尼加拉瓜,英國,英屬維京群島,美國,以色列,墨西哥,巴哈馬,null,俄羅斯,捷克,印度,薩摩亞,匈牙利,德國,瑞士,印尼,馬來西亞,英屬開曼群島,馬紹爾群島,盧森堡,百慕達,瑞典,土耳其,賴比瑞亞,塞席爾,汶萊,法國,菲律賓,貝里斯,智利,模里西斯,加拿大,日本,巴拿馬,南非,澳大利亞,紐西蘭,新加坡,奧地利
中山區,114,臺北市,0,0,0,0,1,0,0,1,3,0,0,0,3,0,14,0,1,0,1,8,0,1,13,17,0,0,0,1,0,0,1,7,0,1,0,3,0,14,0,1,1,0,1,0,0,0,1,4,1,0,0,1,8,1,0,1,0,4,0
敦化南,30,臺北市,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,6,5,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,3,0
中山北,17,臺北市,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,5,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
松山區,82,臺北市,0,0,0,1,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,9,3,0,21,26,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,3,0
南京東,22,臺北市,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
士林區,28,臺北市,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,7,4,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0
復興北,20,臺北市,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
內湖區,350,臺北市,2,2,8,0,0,0,0,10,0,0,0,0,4,0,2,0,0,0,0,65,0,13,48,85,1,3,0,0,0,3,0,17,0,3,2,0,4,28,0,0,0,0,0,0,0,1,3,2,1,1,2,1,17,0,0,3,0,19,0
復興南,4,臺北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
敦化北,4,臺北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
民生東,15,臺北市,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
大安區,84,臺北市,0,0,1,0,0,0,0,1,0,0,0,0,3,0,7,0,0,0,0,17,0,2,14,13,0,0,0,0,0,0,1,2,0,1,0,0,2,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,4,0,1,1,3,0
南港區,85,臺北市,0,0,2,0,0,0,1,6,0,0,0,0,1,0,0,0,2,1,0,16,0,1,17,10,0,1,0,0,1,0,1,4,0,1,0,0,1,8,0,0,0,0,0,0,1,1,1,2,0,0,3,0,1,0,0,1,0,1,0
松江路,11,臺北市,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中正區,23,臺北市,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,5,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0
北投區,11,臺北市,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
忠孝東,22,臺北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0
信義區,23,臺北市,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0
延平南,1,臺北市,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
瑞光路,29,臺北市,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,8,0,1,0,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
